Data;Wartość
2025-04-25 08:00:00;15
2025-04-25 07:00:00;14.1
2025-04-25 06:00:00;15.1
2025-04-25 05:00:00;6.4
2025-04-25 04:00:00;4.1
2025-04-25 03:00:00;6.6
2025-04-25 02:00:00;5.7
2025-04-25 01:00:00;5.9
2025-04-25 00:00:00;9.7
2025-04-24 23:00:00;16.2
2025-04-24 22:00:00;22.2
2025-04-24 21:00:00;27.5
2025-04-24 20:00:00;39.4
2025-04-24 19:00:00;22.4
2025-04-24 18:00:00;16.4
2025-04-24 17:00:00;19.5
2025-04-24 16:00:00;12.9
2025-04-24 15:00:00;13.4
2025-04-24 14:00:00;10.7
2025-04-24 13:00:00;9.3
2025-04-24 12:00:00;8.9
2025-04-24 11:00:00;17.3
2025-04-24 10:00:00;22.3
2025-04-24 09:00:00;27.6
2025-04-24 08:00:00;26.9
2025-04-24 07:00:00;24.2
2025-04-24 06:00:00;19.5
2025-04-24 05:00:00;14.9
2025-04-24 04:00:00;23.2
2025-04-24 03:00:00;21.1
2025-04-24 02:00:00;13.2
2025-04-24 01:00:00;12.4
2025-04-24 00:00:00;14.8
2025-04-23 23:00:00;23.9
2025-04-23 22:00:00;25
2025-04-23 21:00:00;28.1
2025-04-23 20:00:00;21.1
2025-04-23 19:00:00;12
2025-04-23 18:00:00;12.3
2025-04-23 17:00:00;19.1
2025-04-23 16:00:00;15.9
2025-04-23 15:00:00;10.1
2025-04-23 14:00:00;14
2025-04-23 13:00:00;13.1
2025-04-23 12:00:00;7.8
2025-04-23 11:00:00;6.9
2025-04-23 10:00:00;10.8
2025-04-23 09:00:00;21.1
2025-04-23 08:00:00;32.3
2025-04-23 07:00:00;37.3
2025-04-23 06:00:00;34.9
2025-04-23 05:00:00;33.2
2025-04-23 04:00:00;28.8
2025-04-23 03:00:00;30.1
2025-04-23 02:00:00;32.9
