Data;Wartość
2025-04-25 08:00:00;1.2
2025-04-25 07:00:00;1.1
2025-04-25 06:00:00;1.2
2025-04-25 05:00:00;1.2
2025-04-25 04:00:00;1.3
2025-04-25 03:00:00;1.2
2025-04-25 02:00:00;1.4
2025-04-25 01:00:00;1.5
2025-04-25 00:00:00;1.7
2025-04-24 23:00:00;1.7
2025-04-24 22:00:00;2.1
2025-04-24 21:00:00;1.8
2025-04-24 20:00:00;1.9
2025-04-24 19:00:00;1.8
2025-04-24 18:00:00;2
2025-04-24 17:00:00;1.7
2025-04-24 16:00:00;1.6
2025-04-24 15:00:00;1.5
2025-04-24 14:00:00;1.5
2025-04-24 13:00:00;1.7
2025-04-24 12:00:00;2.2
2025-04-24 11:00:00;2.4
2025-04-24 10:00:00;3.9
2025-04-24 09:00:00;3.8
2025-04-24 08:00:00;2.8
2025-04-24 07:00:00;2.1
2025-04-24 06:00:00;2.3
2025-04-24 05:00:00;2.7
2025-04-24 04:00:00;2.3
2025-04-24 03:00:00;2.2
2025-04-24 02:00:00;2.2
2025-04-24 01:00:00;1.8
2025-04-24 00:00:00;1.8
2025-04-23 23:00:00;2.2
2025-04-23 22:00:00;2.2
2025-04-23 21:00:00;2.4
2025-04-23 20:00:00;1.8
2025-04-23 19:00:00;1.5
2025-04-23 18:00:00;1.9
2025-04-23 17:00:00;3.2
2025-04-23 16:00:00;2.9
2025-04-23 15:00:00;3
2025-04-23 14:00:00;3.6
2025-04-23 13:00:00;1.5
2025-04-23 12:00:00;1.5
2025-04-23 11:00:00;1.8
2025-04-23 10:00:00;2.3
2025-04-23 09:00:00;1.2
2025-04-23 08:00:00;0.8
2025-04-23 07:00:00;0.4
2025-04-23 06:00:00;1.5
2025-04-23 05:00:00;0.9
2025-04-23 04:00:00;0.9
2025-04-23 03:00:00;0.7
2025-04-23 02:00:00;1
